酒店名称,评论日期,评论内容,入住房型
H04,2020-01-01,环境不错，服务非常好！,豪华温泉双床房
H04,2020-01-01,都挺好的，愉快的时光总是过的飞快！,高级亲水双床房
H04,2020-01-01,服务热情周到,高级亲水双床房
H04,2020-01-01,酒店环境很好，配套服务很棒,高级温泉大床房
H04,2020-01-01,婷慧很用心，酒店很棒。,豪华池畔大床房
H04,2020-01-01,很好，喜欢还会来，赞赞赞赞赞赞赞赞,高级园景双床房
H04,2020-01-01,专门过来跨年的，客服小姐姐态度非常好，还给我们免费升级了温泉套房。环境也不错,豪华湖景大床房
H04,2020-01-01,前台覃丽梅服務很好，还幫我们訂餐厅,豪华池畔大床房
H04,2020-01-01,交通便利，服务不错，玩的很开心。,高级亲水大床房
H04,2020-01-01,第一次来这家酒店，订的是豪华池畔房，冬天想泡温泉，又在前台补差价升级到了温泉房，房间真的比想象中的好，温泉房带独立的泡池，室外还有38个温泉泡池，总体体验真的很棒，最后特别感谢丽梅小管家式的服务，下次还会再去！！！,豪华池畔大床房
H04,2020-01-01,非常满意！,豪华温泉大床房
H04,2020-01-01,温泉区域非常赞！,高级亲水双床房
H04,2020-01-01,酒店环境好 服务好,高级园景双床房
H04,2020-01-02,不错！！！！！！！！！！,高级亲水大床房
H04,2020-01-02,这段时间在这边酒店很开心，30号过来的，住了几天，前几天都特别好，就是昨天也就是1号的时候我们去吃下午茶，我们在酒店打电话问好餐饮下午茶的时间是5点半结束，我们5点过去的大堂，下到楼下餐厅跟他们说喝下午茶，然后服务员说室内的都被预定了，让我们坐外面，刚刚坐下我们点好餐之后，服务员又告诉我们我们房间的券不在这里使用，在楼上大厅。浪费到5:23左右，我们上楼后，大厅服务员告诉我们券过期了，要去核实申请一下，我们等了很久很久，她又跑过来跟我们讲已经过5:30了，师傅已经下班了，你们吃不到了。当时很生气，后来跟经理反应之后，今天2号早上，经理主动给我们把丰富的早餐送到房间里，摆好盘。总体来说还是一次挺好的experience ，以后还会再来的。,别墅三房两厅
H04,2020-01-02,早餐不错，前台服务热情！,高级亲水大床房
H04,2020-01-02,酒店有温泉，服务挺好，下次还来,高级亲水双床房
H04,2020-01-02,Good for family accommodation,豪华池畔大床房
H04,2020-01-02,住了4天……都挺好,豪华池畔大床房
H04,2020-01-02,早餐比较丰富！前台服务人员也很热情！房间内有送水果和小玩偶！,高级园景双床房
H04,2020-01-02,吃喝玩乐都挺好,别墅三房两厅
H04,2020-01-02,非常不错，体验好！！！！！！,高级亲水大床房
H04,2020-01-02,不错的地方,半山池畔亲水房
H04,2020-01-02,度假休闲的好地方！,高级亲水双床房
