景区名称,评论日期,评论内容,序号
A35,2020-11-24,国家四星拔高了，因此价钱120偏贵。景区在深山，须自驾到达，不大，上山30分钟到顶，好在景色自然，没有商业化。其实就是一条大水涧叠瀑而下，几经周折回旋形成各阶景观。水流气势大，飞珠溅玉，轰隆声鸣，下山路径平阔幽静，挺安逸。除了价贵，值得一去。,54503
A35,2020-11-03,就是一群瀑布，挺好看，但就是这个价格太贵，108一个人，进去后是没有小卖部的，要自己提前带好食品水，沿途需要爬楼梯，有些地方挺陡的。下山路，那些阶梯简直反人类设计，走的特别辛苦，楼梯走一步又太长，两步有太窄，很不好走，沿途听到个个都在吐槽这个下山路。停车那里明明没有人把守，也没有道闸，但就是强制收费10元停车费。,54504
A35,2020-10-17,相对景点购票做优惠便宜了一些，但是去那里感觉不是很值得的，景点就五个瀑布其他都没有，山也不高，这个价格太贵了,54505
A35,2020-10-03,环境还可以，就是门票有点贵，要100多，里面不是很大，一两个小时就可以逛完,54506
A35,2020-02-16,粤东地区难得的大瀑布，想不到冬天水流还这么大，赞，景色漂亮，值得一走。,54507
A35,2020-05-06,景区买票比较贵，团购票需要10人起，可以在那里拼单，可以省很多，就是等票需要一点时间，景点很不错原生态自然景区，很值得一去,54508
A35,2020-05-03,景色很优美，瀑布群也很壮观，值得前去观赏。只是景区不够地道，明明门票早已涨到120元，却还在网上挂51元，价格偏贵不说还有欺诈之嫌，因为游客到了景区没了退路只能认宰，而且对60岁以上老人也取消了优惠，让人扫兴！,54509
A35,2020-05-02,是因为是自营景点吗？门票好贵啊!去哪网说8点开门，结果景区门口标明也是8点，但我们等到8点半才看到工作人员开门上班，瀑布群还是值得一看的，几步一景，每隔几十米都有咨询台，爬山有点小累，如果门票降个一半那心情就更好了,54510
A35,2020-05-04,景色还可以，但不值这个价，成人票5060元的价位比较合理。自驾车可以直达景区停车场，停车费10元。上山基本在瀑布边，楼梯狭窄而且有点陡，下山的楼梯宽，但就没什么东西好看了。如果门票便宜一些的话以后还会考虑再去，按现在这个价格不会去第二次。,54511
A35,2020-11-22,也就是上面一个水库、环境一般。票价太高.不值,54512
A35,2020-05-02,可能是门票太贵，人好少啊，来回3小时只碰到十几个人，建议降低门票，瀑布群挺好看的，几步一景，9点多快10点了山顶放水瀑布水流大了才好看,54513
A35,2020-09-14,就是太贵了门票，景色还可以就是值不了这个价钱,54514
A35,2020-05-14,很值的去的一个景点，三步一跌，五步一瀑，瀑布群名符其实，一路上山瀑布一个接一个，看完眼前的一抬头，又是一个新的瀑布，就这样一直走到了山顶的飞虹瀑布。一看已走了八千多步。也没感觉到累。,54515
A35,2020-10-05,网上购买有优惠，还免排队,54516
A35,2020-10-05,老人，学生没有优惠，说是民企，门票价格还是有点贵的,54517
A35,2020-08-28,门票超级贵，5A景区都不用那么贵，在大门口就有人拦车说要坐中转车才能进去，坑人……很多人都是自己开车进去景区，进去也没什么特色，水质不好给我感觉有点脏，就几个小瀑布，总体来说很一般，去过人都不会再去，增城白水寨比它好N倍，门票便宜，又好玩,54518
A35,2020-05-02,风景优美空气清新值得一游！,54519
A35,2020-10-19,景色好看，门票超贵。,54520
A35,2020-07-05,非常好的景点，走走看看风景挺好，去的那天水挺大！,54521
A35,2020-02-26,路好走，景点是小了点，但觉得值得，不错的哦,54522
A35,2017-01-31,瀑布很漂亮，水喷了我们一身，凉爽！高处倒挺凉快，风很大，瀑布水很清凉，只是水有点儿脏，估计是游客扔的垃圾。,54523
A35,2020-05-01,空气清新！环境幽雅！一路走走停停，倒也舒心惬意！,54524
A35,2020-01-28,收费高，停车费10元+景区门票费120元，不值，性价比不高，景区一般，收费高，去了再也不想去二次，,54525
A35,2020-02-20,虽然位置偏僻，但人群还是熙熙攘攘，人们都向往这里的自然景观和瀑布的波澜壮阔！**里面的景色优美，即有高山流水，瀑布飞流直下的壮阔景色，又有小桥流水的静逸景色！,54526
A35,2020-05-01,到达景区才在网上买的，买完后还发信息通知和链接给我们，取票方便，很靠谱，比在售票处买四人省了32元，值得推荐,54527
A35,2020-04-03,**真得很美环境很好，仔细看还有彩虹，值得一去的地方,54528
A35,2016-04-04,**群确实值得一游。它号称是我国东南的第一大瀑布，从飞瀑断崖处远望，岩石若水洗，层叠似铁关，溪水深碧。不但山清水秀、客家民风还淳朴好客，整个景区路线设计得相当好、不走回头路，门口有停车位，只是好像车位不太够。?,54529
